title,year,budget,runtime,genres,overview,actual_rating,predicted,error
Oppenheimer,2023,100000000,181,"Drama,History",The story of J. Robert Oppenheimer and his role in developing the atomic bomb during World War II.,8.3,7.12,-1.18
Barbie,2023,145000000,114,"Comedy,Fantasy,Adventure",Barbie leaves the perfection of Barbieland to discover the real world and confront questions of identity.,6.8,5.92,-0.88
Dune: Part Two,2024,190000000,166,"Science Fiction,Adventure,Drama",Paul Atreides unites with the Fremen to wage war against House Harkonnen and avenge his fallen family.,8.5,7.02,-1.48
Inside Out 2,2024,200000000,96,"Animation,Family,Comedy,Adventure",Teenager Riley's mind headquarters faces new emotions led by Anxiety as she navigates adolescence.,7.5,6.94,-0.56
The Super Mario Bros. Movie,2023,100000000,92,"Animation,Family,Adventure,Comedy",Plumber Mario travels through the Mushroom Kingdom to rescue his brother and stop the villainous Bowser.,7.0,6.2,-0.8
Killers of the Flower Moon,2023,200000000,206,"Crime,Drama,History","Members of the Osage Nation are murdered in 1920s Oklahoma, sparking a major FBI investigation.",7.6,7.23,-0.37
Poor Things,2023,35000000,141,"Science Fiction,Comedy,Drama,Romance",A young woman brought back to life by a scientist embarks on an odyssey of self-discovery and liberation.,7.8,6.59,-1.21
Madame Web,2024,80000000,116,"Action,Science Fiction,Thriller",A Manhattan paramedic develops the ability to see the future and must protect three young women.,3.7,6.09,2.39
Deadpool & Wolverine,2024,200000000,128,"Action,Comedy,Science Fiction",The wisecracking mercenary teams up with a reluctant Wolverine on a chaotic mission across the multiverse.,7.6,6.39,-1.21
Borderlands,2024,110000000,101,"Action,Science Fiction,Adventure,Comedy",A ruthless bounty hunter returns to her home planet to find a missing girl and uncovers a hidden vault.,4.4,5.83,1.43
Top Gun: Maverick,2022,170000000,130,"Action,Drama","After thirty years, Maverick trains a group of elite graduates for a dangerous mission while confronting his past.",8.2,6.44,-1.76
Everything Everywhere All at Once,2022,25000000,139,"Action,Adventure,Science Fiction,Comedy",An exhausted laundromat owner discovers she must connect with parallel versions of herself to save the multiverse.,7.8,6.43,-1.37
The Batman,2022,185000000,176,"Crime,Action,Drama",A vigilante detective pursues a sadistic serial killer targeting Gotham's elite while uncovering corruption.,7.8,7.31,-0.49
Avatar: The Way of Water,2022,350000000,192,"Science Fiction,Adventure,Action",Jake Sully and his family face renewed threats on Pandora and seek refuge among the ocean clans.,7.5,6.91,-0.59
Black Panther: Wakanda Forever,2022,250000000,161,"Action,Adventure,Science Fiction",The people of Wakanda fight to protect their nation in the wake of their king's death.,6.7,6.61,-0.09
The Whale,2022,3000000,117,Drama,"A reclusive, severely overweight English teacher attempts to reconnect with his estranged teenage daughter.",7.7,6.62,-1.08
Tar,2022,35000000,158,"Drama,Music",A renowned orchestra conductor sees her career and life unravel amid accusations and scandal.,7.3,7.09,-0.21
Nope,2022,68000000,130,"Horror,Science Fiction,Thriller",Ranch-owning siblings attempt to capture evidence of a mysterious presence in the skies above their land.,6.8,6.36,-0.44
The Menu,2022,30000000,107,"Horror,Comedy,Thriller",A young couple visits an exclusive island restaurant where the celebrity chef has prepared a shocking menu.,7.2,5.81,-1.39
Glass Onion: A Knives Out Mystery,2022,40000000,139,"Comedy,Crime,Mystery",Detective Benoit Blanc travels to Greece to solve a murder among a tech billionaire's circle of friends.,7.1,6.48,-0.62
John Wick: Chapter 4,2023,100000000,169,"Action,Thriller,Crime",John Wick takes on the High Table in a globe-spanning fight to win his freedom.,7.7,7.23,-0.47
Guardians of the Galaxy Vol. 3,2023,250000000,150,"Science Fiction,Adventure,Action,Comedy",The Guardians embark on a dangerous mission to protect one of their own and confront their pasts.,7.9,6.42,-1.48
Spider-Man: Across the Spider-Verse,2023,100000000,140,"Animation,Action,Adventure,Science Fiction",Miles Morales travels across the multiverse and clashes with other Spider-People over how to handle a new threat.,8.5,6.66,-1.84
The Flash,2023,200000000,144,"Action,Adventure,Science Fiction","Barry Allen travels back in time to change the past, shattering the multiverse and trapping himself.",6.7,6.72,0.02
Wonka,2023,125000000,116,"Comedy,Family,Fantasy",A young Willy Wonka chases his dream of opening a chocolate shop against a cartel of greedy chocolatiers.,7.0,5.86,-1.14
The Marvels,2023,270000000,105,"Action,Adventure,Science Fiction",Three heroes with entangled powers must team up to stop a vengeful enemy threatening the universe.,5.6,5.74,0.14
Wish,2023,200000000,95,"Animation,Family,Fantasy,Adventure","A young girl makes a wish so powerful it is answered by a cosmic force, sparking a fight against a ruler.",5.7,6.88,1.18
Furiosa: A Mad Max Saga,2024,168000000,148,"Action,Adventure,Science Fiction",Young Furiosa is snatched from her home and must survive a brutal warlord while plotting her escape.,7.5,6.71,-0.79
Joker: Folie a Deux,2024,200000000,138,"Drama,Crime,Music,Thriller","Arthur Fleck, institutionalized at Arkham, finds an unexpected connection and music amid his trial.",5.1,6.68,1.58
Gladiator II,2024,250000000,148,"Action,Adventure,Drama","Years after the events of the original, a young man enters the Colosseum seeking revenge against Rome.",6.5,6.73,0.23
Wicked,2024,145000000,160,"Drama,Romance,Fantasy",The untold story of the witches of Oz and an unlikely friendship that shapes their destinies.,7.3,7.16,-0.14
Twisters,2024,200000000,122,"Action,Adventure,Thriller",Storm chasers test experimental technology against unprecedented tornado outbreaks across Oklahoma.,6.5,6.18,-0.32
Civil War,2024,50000000,109,"Action,Drama,War",A team of journalists travels across a fractured United States during a violent civil conflict.,7.0,6.17,-0.83
The Fall Guy,2024,130000000,126,"Action,Comedy",A battered stuntman tracks down a missing movie star while trying to win back the love of his life.,6.9,6.29,-0.61
Megalopolis,2024,120000000,138,"Science Fiction,Drama",An idealist architect battles a corrupt mayor over the future of a decaying metropolis he hopes to rebuild.,4.7,6.46,1.76
Argylle,2024,200000000,139,"Action,Comedy,Thriller",A reclusive spy novelist finds the plots of her books mirroring real espionage as she is pulled into danger.,5.6,6.69,1.09
